Bounding Rect,80,116,904,792
Pegs Rect small,312,832,80,60
Pegs Rect small,504,700,80,60
Pegs Rect small,700,572,80,60
Pegs Rect small,876,456,80,60
Pegs Rect small,244,676,80,60
Pegs Rect small,420,556,80,60
Pegs Rect small,588,456,80,60
Pegs Rect small,772,328,80,60
Pegs Rect small,192,536,80,60
Pegs Rect small,344,428,80,60
Pegs Rect small,512,320,80,60
Pegs Rect small,676,208,80,60
Pegs Rect big,272,732,140,140
Pegs Rect big,464,600,140,140
Pegs Rect big,660,472,140,140
Pegs Rect big,836,356,140,140
Pegs Rect big,204,576,140,140
Pegs Rect big,380,456,140,140
Pegs Rect big,548,356,140,140
Pegs Rect big,732,228,140,140
Pegs Rect big,152,436,140,140
Pegs Rect big,304,328,140,140
Pegs Rect big,472,220,140,140
Pegs Rect big,636,108,140,140
with ring thresh,430695,2.87079e+06
with ring thresh,640560,2.04128e+06
with ring thresh,694875,1.68632e+06
with ring thresh,727515,1.99028e+06
with ring thresh,609705,1.75364e+06
with ring thresh,651780,1.67561e+06
with ring thresh,711705,1.8332e+06
with ring thresh,637245,2.21519e+06
with ring thresh,558960,1.43514e+06
with ring thresh,649995,1.59375e+06
with ring thresh,634950,1.7646e+06
with ring thresh,657645,1.8819e+06
without ring thresh,430695,2.87079e+06
without ring thresh,640560,2.04128e+06
without ring thresh,694875,1.68632e+06
without ring thresh,727515,1.99028e+06
without ring thresh,609705,1.75364e+06
without ring thresh,651780,1.67561e+06
without ring thresh,711705,1.8332e+06
without ring thresh,637245,2.21519e+06
without ring thresh,558960,1.43514e+06
without ring thresh,649995,1.59375e+06
without ring thresh,634950,1.7646e+06
without ring thresh,657645,1.8819e+06
Threshold Ring,5
Threshold Tool,69
